strId              count           possiblyCount
28912            32            39233            
50486            139            672783            
5044            9            672784            
133640            9            39233            
6            2610            39234            
11388            63            39233            
46696            2            672784            
54184            4            672784            
48470            231            672783            
42744            1553            672784            
47908            740            672783            
35308            2244            672784            
132860            8            39233            
47893            6            672783            
37544            17            672784            
92196            3            672784            
132184            4            672784            
46607            9            672783            
33            579            39234            
83512            37            672784            
84552            9            672784            
46605            57            672783            
45            60            39234            
40664            701            672784            
48363            1            39232            
21            15443            672785            
119860            3            672784            
74568            571            672784            
42172            135            39233            
46348            29            672783            
47908            33            39232            
64324            23            672784            
49192            8            672784            
42068            29            39233            
37388            1            39233            
119600            1            672784            
6656            795            672784            
32656            223            39233            
58500            82            672784            
3068            3            672784            
30368            2            672784            
132444            77            672784            
46181            9            39232            
46815            16            672783            
93392            2            672784            
87360            47            672784            
48152            14            672784            
45968            28            672784            
48060            26            672783            
2288            848            672784            
46385            19            672783            
26780            115            672784            
48570            26            39232            
65000            9            39233            
48075            1            39232            
133588            8            39233            
46020            1            39233            
572            487            672784            
27768            23            672784            
119340            16            39233            
416            763            672784            
82940            4            39233            
64168            746            672784            
94848            3            672784            
32344            4048            672784            
46342            2            672783            
90896            1            672784            
21528            133            672784            
18            24545            672785            
21944            8            39233            
58656            2            39233            
60736            30            39233            
48261            129            672783            
46353            1            672783            
113984            4            672784            
48442            19            672783            
48568            1567            672784            
46021            11            672783            
31772            154            39233            
48071            141            672783            
127254            2            39232            
53508            9            39233            
132028            7            672784            
25532            185            672784            
92404            5            672784            
25584            1006            672784            
46595            91            672783            
127246            1            39232            
130468            366            39233            
54080            912            672784            
25116            908            672784            
86528            5            39233            
46234            3            672783            
61516            2            39233            
66612            96            39233            
27            94            39234            
61828            263            672784            
52832            3            39233            
61516            143            672784            
53300            1225            672784            
74672            19            672784            
24960            2            672784            
28964            2            39233            
64480            60            672784            
77532            699            672784            
77636            2            39233            
63700            68            39233            
11544            1301            672784            
42224            34            672784            
75296            38            39233            
39884            136            39233            
48532            9            39232            
48259            89            672783            
131560            1577            672784            
129584            18            672784            
77428            1            39233            
13936            193            39233            
46208            64            672783            
6760            10            672784            
52988            164            39233            
21268            234            39233            
48636            379            672783            
11336            56            672784            
21528            12            39233            
46193            1            39232            
46178            29            39232            
46154            22            672783            
48878            31            672783            
32916            65            39233            
129688            22            672784            
48932            117            672784            
19396            22            672784            
40456            202            39233            
47423            3            39232            
26260            1461            672784            
13364            34            39233            
47850            3            39232            
48583            75            672783            
48080            10            672783            
127313            1            39232            
48770            1            672783            
6188            17            39233            
73268            109            672784            
59020            8            39233            
312            44            39233            
8632            1037            672784            
77740            28            672784            
49499            5            672783            
131300            630            672784            
31616            3            672784            
39884            1950            672784            
28184            1            672784            
6344            128            672784            
46130            1            39232            
86216            2            39233            
46244            1            39232            
74828            956            672784            
10816            6            672784            
49502            75            39232            
30420            7            672784            
69004            12            39233            
260            51            39233            
29848            19            39233            
127308            1            39232            
48630            7            39232            
35672            1            672784            
82680            17            672784            
51688            103            672784            
11648            186            672784            
54080            75            39233            
65260            1            672784            
24648            132            39233            
127296            10            39233            
3640            44            672784            
82472            221            672784            
48444            5            672783            
12896            43            672784            
63700            1356            672784            
61204            17            672784            
55744            4            39233            
14924            6            39233            
48418            375            672783            
6084            861            672784            
63440            1            39233            
40            9            672785            
45916            234            39233            
5928            80            672784            
84500            8            39233            
13572            924            672784            
1352            623            672784            
46825            24            672783            
48373            9            39232            
62036            2            672784            
33124            134            672784            
10660            161            39233            
46332            61            672784            
46124            17            39233            
47684            460            672784            
36192            276            672784            
47806            114            672783            
82888            25            672784            
75296            341            672784            
13884            631            672784            
75348            3            672784            
32864            3            39233            
29328            12            39233            
127311            2            39232            
10868            13            672784            
99892            3            672784            
48361            1396            672783            
48572            3            39232            
133900            3            39233            
66612            1384            672784            
51265            49            672783            
47999            1            39232            
48620            1075            672784            
95420            5            672784            
132600            399            672784            
66820            1226            672784            
51532            9            672784            
40508            3091            672784            
49342            22            39232            
6812            123            39233            
46190            19            672783            
14144            26            39233            
132808            3            39233            
48370            7            39232            
29692            71            39233            
22932            326            672784            
100412            1            672784            
37804            2            672784            
78156            2            39233            
46606            71            672783            
85488            7            39233            
130520            2            672784            
51214            1            672783            
26208            48            672784            
26260            75            39233            
48068            10            672783            
51428            68            672784            
114504            1            672784            
133328            4            39233            
47810            2            672783            
84812            1487            672784            
116428            19            39233            
46800            676            672784            
79820            1            672784            
46805            144            672783            
69732            18            672784            
48081            2            39232            
48057            2            672783            
114920            2            672784            
1144            325            672784            
21            974            39234            
48579            1            39232            
5616            2675            672784            
46082            6            672783            
80236            52            672784            
130520            2            39233            
48433            25            39232            
38220            105            39233            
40456            4311            672784            
48600            15            672783            
51896            987            672784            
127263            13            39232            
48062            18            39232            
19084            701            672784            
63492            6            672784            
45240            164            672784            
2964            1264            672784            
7592            187            672784            
21840            9            39233            
48526            39            672783            
50596            6            672784            
85748            4            39233            
48051            1            39232            
20956            2            39233            
50232            6            672784            
5200            1            672784            
42            20            672785            
86164            76            672784            
48633            3            39232            
131976            2            672784            
127299            2            39232            
48779            43            39232            
48880            11            672784            
47811            5            672783            
2548            1            672784            
132496            336            672784            
44            7120            672785            
14508            10            39233            
59228            1            672784            
46612            8            39232            
11284            20            39233            
77688            32            39233            
52676            202            672784            
80756            3            672784            
119392            1            672784            
32136            94            39233            
48577            2            39232            
4316            4            672784            
51530            10            39232            
133484            12            39233            
48            886            672785            
10244            3            39233            
79300            1201            672784            
48441            208            672783            
119184            3            672784            
59176            105            39233            
22776            696            672784            
49500            10            672783            
48588            1            39232            
48497            1            39232            
48421            1            672783            
47898            12            39232            
61984            1            672784            
35100            4            39233            
16            61230            672785            
130000            69            39233            
35412            27            672784            
1716            1777            672784            
25532            5            39233            
