       strId   count   possiblyCount
      6708         4    672784
      6760        10    672784
      6812      1821    712017
      6864       104    672784
      6916         2    712017
      7020        86    712017
      7592       191    712017
      7644         9    672784
      7696       412    712017
      7748         7    672784
      7800        16    672784
      7904      3462    712017
      8008       661    712017
      8112        48    672784
      8216       590    712017
      8268       357    672784
      8424         1    672784
      8476       532    712017
      8580        70    712017
      8632      1096    712017
      8684         7    672784
      8736       188    712017
      8788      6014    712017
      8892       907    712017
      8944        24    672784
      8996         2    672784
      9048       513    712017
      9256        16    712017
      9308         4    672784
     10244        39    712017
     10296         6    672784
     10348        81    712017
     10400         1     39233
     10452         5    672784
     10504        73    672784
     10556       426    712017
     10660      2737    712017
     10712        22    672784
     10764       626    712017
     10816         7    712017
     10868        13    672784
     10920      2876    712017
     11024        10    712017
     11076         4    712017
     11128      1818    712017
     11232       138    712017
     11284       411    712017
     11336        58    712017
     11388      1111    712017
     11440      2366    712017
     11492        66    712017
     11544      1324    712017
     11596       176    712017
     11648       203    712017
     11700      1073    712017
     11752         8    672784
     11804        36    712017
     11856       112    712017
     11908        15    712017
     11960        67    712017
     12064       186    712017
     12116       437    712017
     12168       331    712017
     12220         1    672784
     12272         9    672784
     12324       247    712017
     12896        43    672784
     12948         2    672784
     13000       106    712017
     13104         8    672784
     13156         1    672784
     13208       572    712017
     13312         8    712017
     13364       703    712017
     13416       879    712017
     13468      2264    712017
     13520      1626    712017
     13572       972    712017
     13676       621    712017
     13728       724    712017
     13780       109    712017
     13832      1565    712017
     13884       699    712017
     13936      3995    712017
     13988      2559    712017
     14040      4493    712017
     14092       164    712017
     14144       627    712017
     14196      4535    712017
     14248      2340    712017
     14300      2468    712017
     14352        50    712017
     14404        14    712017
     14456       679    712017
     14508       183    712017
     14560       617    712017
     14612       487    712017
     14664       450    712017
     14924       224    712017
     14976       240    712017
     15548       612    712017
     15600       101    712017
     15652      1421    712017
     15704        34    712017
     15756        64    712017
     15808         2    672784
     15860      8553    712017
     18616       907    712017
     18668        32    672784
     18772        15    672784
     18824       424    712017
     18876      2530    712017
     18980         8    672784
     19084       739    712017
     19188        59    712017
